OpenMP Region / Function / Call Stack,UOPS_RETIRED.ALL,CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,L2_RQSTS.MISS,CYCLE_ACTIVITY.STALLS_L2_PENDING,CYCLE_ACTIVITY.STALLS_LDM_PENDING,Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,RS_EVENTS.EMPTY_CYCLES,Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS_PS,MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,MEM_UOPS_RETIRED.ALL_LOADS_PS,MEM_UOPS_RETIRED.ALL_STORES,MEM_UOPS_RETIRED.ALL_STORES_PS,MEM_LOAD_UOPS_RETIRED.L3_HIT,MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_MISS,MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,OpenMP Potential Gain,Elapsed Time,Number of OpenMP threads,Instance Count,Module,Function (Full),Source File,Start Address
advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:91:426,834701252050,550140825210,17644264660,452680679020,495930743895,69553586545,729521885,68530102795,9155192465495,226140339210,2224066720,897526925,1253526260,171218881740,228100684300,23770035655,24080361200,530972915,536782205,652019560,646288775,6584949877410,249527485600,124416232375,113488058875,16.6795,89.7748,4,7200,,,,0
advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:96:727,769801154700,456220684330,17157257355,373190559785,393950590925,84000019925,590517715,51610077415,8090699272025,209040313560,2667580025,1120033600,1500630000,187014012910,228515685545,21360032040,21510322650,937393540,941556490,555016650,559283555,5188567782840,282885486310,98964968860,97670859900,8.01781,62.6941,4,7200,,,,0
