"OpenMP Region / Function / Call Stack","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_HIT.ANY_RESPONSE","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.ANY_DRAM","CPU_CLK_THREAD_UNHALTED.REF_XCLK","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","CPU_CLK_UNHALTED.THREAD_P_ANY","LOAD_HIT_PRE.HW_PF","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.LOCAL_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","LOAD_HIT_PRE.SW_PF","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","389990584985","374458561687","174520261780","0","0","11450017175","11600017400","387810581715","3724111720","0","259090388635","218870328305","188020282030","0","176505295","71570107355","700021000","700021000","328509855","397166740","398167160","195832215","200762045","173505205","177260635","21330279740","1739742609610","11439936355","30117644100","16869006055","16077982325","1543046290","5.03446","43.3036","4","2400","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","148960223440","142958214437","88010132015","0","0","4730007095","4630006945","149630224445","564016920","0","103780155670","89760134640","93400140100","0","325509765","37090055635","517515525","517515525","80502415","408921675","416424825","74781395","75504530","349010470","348520910","36707952345","864571296855","4552273120","46557045750","4484634535","32147964410","3691610745","2.4094","16.1664","4","6401","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","158260237390","150236225354","78460117690","0","0","4840007260","4730007095","158640237960","156504695","0","95910143865","86410129615","85540128310","0","140004200","64890097335","1131533945","1131533945","832024960","263360565","263110460","135056700","115756945","138004140","138008280","4057993465","759151138725","1832609950","8702153370","11802354060","4901147030","265507965","1.92972","17.3422","4","1600","","","","0"
"reset_field_kernel_module_mp_reset_field_kernel_$omp$parallel:4@unknown:49:99","53500080250","52144078216","38160057240","0","0","1690002535","1680002520","53160079740","114003420","0","46990070485","38400057600","41320061980","0","152004560","3260004890","279508385","279508385","47001410","248604370","247854055","73530870","71754305","149504485","152259135","86988468995","194790292185","32745964640","130922714455","19090572700","80151404470","5930677915","0.663067","6.00098","4","800","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","78684118026","75110112665","34520051780","0","0","2330003495","2310003465","78880118320","111003330","0","45190067785","40520060780","37890056835","0","45001350","36900055350","295508865","295508865","198005940","81284125","78532970","34264385","42502550","37001110","42752565","1133818025","484110726165","743794625","1437603540","2816084480","1606548195","37001110","1.00099","8.68206","4","800","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","58950088425","56916085374","41420062130","0","0","1850002775","1930002895","60220090330","3676110280","0","43360065040","40400060600","41240061860","0","25000750","14080021120","142504275","142504275","62001860","68778875","69279085","42767955","44502670","31500945","25251515","1796857805","553450830175","855551330","3964164250","1320039600","3247097410","47501425","0.687126","6.4939","4","800","","","","0"
"ideal_gas_kernel_module_mp_ideal_gas_kernel_$omp$parallel:4@unknown:45:60","48840073260","46186069279","19750029625","0","0","1240001860","1300001950","47440071160","541516245","0","36990055485","25480038220","23010034515","0","8000240","4590006885","32000960","32000960","16500495","18757875","18507770","11504830","9500570","13500405","13000780","3346950805","159090238635","1018061080","2562575830","1577547325","2044061320","0","0.71991","5.34975","4","1683","","","","0"
"calc_dt_kernel_module_mp_calc_dt_kernel_$omp$parallel:4@unknown:99:151","58324087486","55090082635","18910028365","0","0","1750002625","1770002655","57200085800","451013530","0","34620051930","27640041460","22490033735","0","42501275","23210034815","186005580","186005580","120503615","64276985","62526250","22759555","25001500","37001110","37752265","5129057725","219570329355","1741854505","7141748275","2064061920","7415722465","910027300","0.762536","6.30988","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:435:482","77574116361","73204109806","6620009930","0","0","2110003165","2030003045","78040117060","171005130","0","22880034320","7730011595","14840022260","0","3000090","26640039960","45001350","45001350","44001320","11504830","11504830","8003360","7500450","5500165","6000360","518281095","246630369945","94005640","94039480","492514775","22500675","0","1.07564","8.35082","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:867:901","69712104568","65658098487","11120016680","0","0","1830002745","1850002775","70910106365","226506795","0","21660032490","13430020145","14990022485","0","5000150","22900034350","61501845","61501845","43001290","21008820","15756615","13505670","12500750","2500075","6000360","47752865","216750325125","181760905","1215510300","307509225","34501035","3500105","1.10104","7.47133","4","2400","","","","0"
